Region,Round,Outcome
Midwest,First Round,1 Seed Kansas defeats 16 Penn 82.13-66.58 with 95.64% probability.
Midwest,First Round,8 Seed Seton Hall defeats 9 North Carolina State 81.79-78.59 with 65.62% probability.
Midwest,First Round,5 Seed Clemson defeats 12 New Mexico State 68.83-63.46 with 74.56% probability.
Midwest,First Round,4 Seed Auburn defeats 13 College of Charleston 82.41-70.31 with 91.73% probability.
Midwest,First Round,6 Seed Texas Christian defeats 11 Arizona State 84.6-81.03 with 67.26% probability.
Midwest,First Round,3 Seed Michigan State defeats 14 Bucknell 83.58-68.09 with 95.6% probability.
Midwest,First Round,10 Seed Oklahoma upsets 7 Rhode Island 83.3-83.14 with 50.46% probability.
Midwest,First Round,2 Seed Duke defeats 15 Iona 92.49-70.11 with 98.83% probability.
East,First Round,1 Seed Villanova defeats 16 Radford 81.17-57.31 with 99.13% probability.
East,First Round,8 Seed Virginia Tech defeats 9 Alabama 73.04-71.41 with 58.36% probability.
East,First Round,5 Seed West Virginia defeats 12 Murray State 80.54-73.81 with 79.34% probability.
East,First Round,4 Seed Wichita State defeats 13 Marshall 90.36-80.44 with 87.83% probability.
East,First Round,6 Seed Florida defeats 11 UCLA 79.42-74.61 with 72.42% probability.
East,First Round,3 Seed Texas Tech defeats 14 Stephen F. Austin 78.12-64.31 with 93.97% probability.
East,First Round,10 Seed Butler upsets 7 Arkansas 81.04-76.27 with 71.67% probability.
East,First Round,2 Seed Purdue defeats 15 Cal State Fullerton 86.48-64.03 with 98.85% probability.
South,First Round,1 Seed Virginia defeats 16 UMBC 78.22-51.77 with 99.48% probability.
South,First Round,8 Seed Creighton defeats 9 Kansas State 74.53-72.0 with 62.61% probability.
South,First Round,5 Seed Kentucky defeats 12 Davidson 74.83-69.14 with 75.78% probability.
South,First Round,4 Seed Arizona defeats 13 Buffalo 86.79-78.45 with 84.09% probability.
South,First Round,6 Seed Miami (FL) defeats 11 Loyola (IL) 67.78-66.38 with 57.25% probability.
South,First Round,3 Seed Tennessee defeats 14 Wright State 74.58-59.48 with 95.26% probability.
South,First Round,7 Seed Nevada defeats 10 Texas 72.12-71.55 with 53.15% probability.
South,First Round,2 Seed Cincinnati defeats 15 Georgia State 72.01-57.51 with 94.69% probability.
West,First Round,1 Seed Xavier defeats 16 Texas Southern 95.81-71.56 with 99.19% probability.
West,First Round,8 Seed Missouri defeats 9 Florida State 75.29-74.3 with 55.26% probability.
West,First Round,5 Seed Ohio State defeats 12 South Dakota State 83.36-71.29 with 91.69% probability.
West,First Round,4 Seed Gonzaga defeats 13 North Carolina-Greensboro 74.67-62.68 with 91.57% probability.
West,First Round,6 Seed Houston defeats 11 San Diego State 75.77-69.33 with 78.39% probability.
West,First Round,3 Seed Michigan defeats 14 Montana 72.98-63.07 with 87.81% probability.
West,First Round,7 Seed Texas A&M defeats 10 Providence 71.55-68.27 with 65.99% probability.
